Qty,Value,DIS,DIS,DPN,MFR,MPN
1,,J1,Digi-Key,A113320-ND,TE Connectivity AMP Connectors,282837-2
2,,"CN7, CN10",Digi-Key,S7122-ND,Sullins Connector Solutions,PPPC192LFBN-RC
2,0.1uF,"C6, C20",Digi-Key,1276-2444-2-ND,Samsung Electro-Mechanics,CL21B104KBCNFNC
1,10K,R1,Digi-Key,311-10.0KCRCT-ND,Yageo,RC0805FR-0710KL
10,10k,"R3, R16, R23, R26, R29, R32, R35, R38, R41, R44",Digi-Key,311-10.0KCRCT-ND,Yageo,RC0805FR-0710KL
1,10uF,C23,Digi-Key,399-4925-1-ND,KEMET,C0805C106K8PACTU
1,10uH,L1,Digi-Key,445-174699-1-ND,TDK Corporation,CLF5030NIT-100M-D
10,120pF,"C1, C12, C13, C14, C15, C17, C18, C19, C40, C41",Digi-Key,399-1124-1-ND,KEMET,C0805C121J5GACTU
1,124k,R4,Digi-Key,P124KCCT-ND,Panasonic Electronic Components,ERJ-6ENF1243V
1,1N4148W-7-F,CR1,Digi-Key,1N4148W-FDICT-ND,Diodes Incorporated,1N4148W-7-F
10,1k,"R8, R9, R10, R11, R12, R14, R15, R46, R47, R48",Digi-Key,311-1.0KARCT-ND,Yageo,RC0805JR-071KL
10,220mA/50V/3.5Î©,"Q1, Q4, Q6, Q8, Q10, Q12, Q14, Q16, Q18, Q20",Digi-Key,1727-1142-1-ND,Nexperia USA Inc.,"BSS138P,215"
1,23.7k,R5,Digi-Key,311-23.7KCRCT-ND,Yageo,RC0805FR-0723K7L
21,282834-2,"12V, SENSOR_0, SENSOR_1, SENSOR_2, SENSOR_3, SENSOR_4, SENSOR_5, SENSOR_6, SENSOR_7, SENSOR_8, SENSOR_9, SOLENOID_0, SOLENOID_1, SOLENOID_2, SOLENOID_3, SOLENOID_4, SOLENOID_5, SOLENOID_6, SOLENOID_7, SOLENOID_8, SOLENOID_9",Digi-Key,A98333-ND,TE Connectivity AMP Connectors,282834-2
10,28k,"R7, R21, R24, R27, R30, R33, R36, R39, R42, R45",Digi-Key,RMCF0805FT28K0CT-ND,Stackpole Electronics Inc,RMCF0805FT28K0
10,4.7K,"R2, R6, R22, R25, R28, R31, R34, R37, R40, R43",Digi-Key,311-4.70KCRCT-ND,Yageo,RC0805FR-074K7L
1,4.7uF,C2,Digi-Key,399-5507-2-ND,KEMET,C1206C475K5PACTU
10,5V,"D12, D14, D15, D16, D17, D18, D19, D20, D21, D22",Digi-Key,D5V0H1U2LP1610-7DICT-ND,Diodes Incorporated,D5V0H1U2LP1610-7
10,BAS40,"D3, D4, D5, D6, D7, D8, D9, D10, D11, D13",Digi-Key,1514-CMPSH1-4TRPBFREECT-ND,Central Semiconductor Corp,CMPSH1-4 TR PBFREE
1,DFLS160,D1,Digi-Key,SBRT3U45SA-13DICT-ND,Diodes Incorporated,SBRT3U45SA-13
10,IRF9530,"Q2, Q3, Q5, Q7, Q9, Q11, Q13, Q15, Q17, Q19",Digi-Key,IRF9530NPBF-ND,Infineon Technologies,IRF9530NPBF
1,MP2456GJ-P,5V_REG,Digi-Key,1589-1120-1-ND,Monolithic Power Systems Inc.,MP2456GJ-P
11,NP,"R13, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58",,,,