Qty,Value,Parts,DIS,DPN,MFR,MPN
1,,J1,Digi-Key,900-0022232021-ND,Molex,22232021
4,,"J4, J5, J6, J7",Digi-Key,WM4202-ND,Molex,22232041
1,,J2,Digi-Key,WM4203-ND,Molex,22232051
1,,D9,Digi-Key,D12V0H1U2LP1610-7DICT-ND,Diodes Incorporated,D12V0H1U2LP1610-7
14,,"D2, D3, D4, D5, D6, D7, D8, D10, D11, D12, D13, D14, D15, D16",Digi-Key,D5V0H1U2LP1610-7DICT-ND,Diodes Incorporated,D5V0H1U2LP1610-7
4,#4-BARE_MOUNTING_HOLE/.300,"H5, H6, H7, H8",,,,
4,1 K,"R13, R18, R19, R20",Digi-Key,311-1.00KCRCT-ND,Yageo,RC0805FR-071KL
2,1 uF,"C5, C12",Digi-Key,1276-2395-1-ND,Samsung Electro-Mechanics,CL21A105KACLNNC
2,10 nF,"C4, C11",Digi-Key,445-14445-1-ND,TDK Corporation,C2012X5R2E103K125AA
1,100 nF,C2,Digi-Key,478-12790-1-ND,AVX Corporation,08055D104KAT2A
7,100 nF,"C7, C8, C9, C10, C19, C20, C22",Digi-Key,478-12790-1-ND,AVX Corporation,08055D104KAT2A
8,100 pF,"C18, C23, C24, C25, C26, C27, C28, C29",Digi-Key,732-8046-1-ND,WÃ¼rth Elektronik,885012207054
1,10BQ060TR,D1,Digi-Key,1655-1342-1-ND,SMC Diode Solutions,10BQ060TR
4,120 pF,"C14, C15, C16, C17",Digi-Key,399-7139-1-ND,KEMET,C0805C121KDRACTU
1,124k,R16,Digi-Key,2019-RK73H2ATTD1243FCT-ND,"KOA Speer Electronics, Inc.",RK73H2ATTD1243F
1,19.1 k,R14,Digi-Key,RNCP0805FTD19K1CT-ND,Stackpole Electronics Inc,RNCP0805FTD19K1
1,1N4148W-7-F,CR1,Digi-Key,1N4148W-FDICT-ND,Diodes Incorporated,1N4148W-7-F
2,2.2 uF,"C6, C13",Digi-Key,1276-6458-1-ND,Samsung Electro-Mechanics,CL21A225KAFNNNG
1,22 uF,C3,Digi-Key,1276-6786-1-ND,Samsung Electro-Mechanics,CL21A226KPCLRNC
1,4.7 uF,C1,Digi-Key,1276-1244-1-ND,Samsung Electro-Mechanics,CL21A475KAQNNNE
1,499 k,R17,Digi-Key,2019-RK73H2ATTD4993FCT-ND,"KOA Speer Electronics, Inc.",RK73H2ATTD4993F
1,CLF5030NIT-100M-D,U$2,Digi-Key,445-174699-1-ND,TDK Corporation,CLF5030NIT-100M-D
4,INA126PA,"U1, U2, U3, U4",Digi-Key,INA126PA-ND,Texas Instruments,INA126PA
1,LP2985AIM5-3.3,U5,Digi-Key,LP2985AIM5-3.3/NOPBCT-ND,Texas Instruments,LP2985AIM5-3.3/NOPB
1,LP2985AIM5-5.0/NOPB,U6,Digi-Key,LP2985AIM5-5.0/NOPBCT-ND,Texas Instruments,LP2985AIM5-5.0/NOPB
1,MP2456GJ-P,U$1,Digi-Key,1589-1120-1-ND,Monolithic Power Systems Inc.,MP2456GJ-P
8,NP,"R5, R6, R7, R8, R9, R10, R11, R12",,,,
1,NP,R15,,,,
4,TBD,"R1, R2, R3, R4",,,,
4,TEST-POINTTP_15TH_THRU,"TP1, TP2, TP3, TP4",,,,