"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"C0805C121KDRACTU","KEMET","399-7139-1-ND","","","Cut Tape (CT)","Active","26","0.37400","$9.72","13577","8 Weeks","CAP CER 120PF 1KV X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"GCM21BR72A104KA37L","Murata Electronics","490-4789-1-ND","","","Cut Tape (CT)","Active","6","0.32000","$1.92","11737021","19 Weeks","CAP CER 0.1UF 100V X7R 0805","ROHS3 Compliant","Lead free","Not Available"
"CL21A105KACLNNC","Samsung Electro-Mechanics","1276-2395-1-ND","","","Cut Tape (CT)","Active","6","0.15000","$0.90","140654","22 Weeks","CAP CER 1UF 25V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"GRM21BR61E106KA73L","Murata Electronics","490-5523-1-ND","","","Cut Tape (CT)","Active","2","0.46000","$0.92","11865926","15 Weeks","CAP CER 10UF 25V X5R 0805","ROHS3 Compliant","Lead free","Not Available"
"CL21A475KAQNNNE","Samsung Electro-Mechanics","1276-1244-1-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","100782","22 Weeks","CAP CER 4.7UF 25V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ECA-1HM101","Panasonic Electronic Components","P5182-ND","","","Bulk","Active","1","0.31000","$0.31","6365","14 Weeks","CAP ALUM 100UF 20% 50V RADIAL","RoHS Compliant","Lead free","Not Available"
"DFLS160-7","Diodes Incorporated","DFLS160DICT-ND","","","Cut Tape (CT)","Active","2","0.44000","$0.88","95494","16 Weeks","DIODE SCHOTTKY 60V 1A POWERDI123","ROHS3 Compliant","Contains lead","REACH Unaffected"
"RC0805FR-071KL","Yageo","311-1.00KCRCT-ND","","","Cut Tape (CT)","Active","26","0.04000","$1.04","20000725","24 Weeks","RES SMD 1K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RNCP0805FTD150R","Stackpole Electronics Inc","RNCP0805FTD150RCT-ND","","","Cut Tape (CT)","Active","12","0.07200","$0.86","50605","18 Weeks","RES 150 OHM 1% 1/4W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"D5V0H1U2LP1610-7","Diodes Incorporated","D5V0H1U2LP1610-7DICT-ND","","","Cut Tape (CT)","Active","26","0.26040","$6.77","4264","12 Weeks","TVS DIODE 5V 11.5V U-DFN1610-2","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-0722KL","Yageo","311-22.0KCRCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","978121","24 Weeks","RES SMD 22K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RK73H2ATTD1243F","KOA Speer Electronics, Inc.","2019-RK73H2ATTD1243FCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","2390","Not Available","RES 124K OHM 1% 1/4W 0805","ROHS3 Compliant","Lead free","Not Available"
"RK73H2ATTD2372F","KOA Speer Electronics, Inc.","2019-RK73H2ATTD2372FCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","1821","Not Available","RES 23.7K OHM 1% 1/4W 0805","ROHS3 Compliant","Lead free","Not Available"
"RN73R2ATTD1002F25","KOA Speer Electronics, Inc.","2019-RN73R2ATTD1002F25CT-ND","","","Cut Tape (CT)","Active","2","0.39000","$0.78","3380","9 Weeks","RES 10K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","Not Available"
"CRCW080573K2FKEA","Vishay Dale","541-73.2KCCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","5817","11 Weeks","RES SMD 73.2K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","Not Available"
"SBH11-PBPC-D20-ST-BK","Sullins Connector Solutions","S9175-ND","","","Tray","Active","2","0.73000","$1.46","16432","5 Weeks","CONN HEADER VERT 40POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"0022232051","Molex","WM4203-ND","","","Bag","Active","1","0.34000","$0.34","15579","7 Weeks","CONN HEADER VERT 5POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"0022232021","Molex","900-0022232021-ND","","","Bulk","Active","28","0.16100","$4.50","55096","7 Weeks","CONN HEADER VERT 2POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"CLF5030NIT-100M-D","TDK Corporation","445-174699-1-ND","","","Cut Tape (CT)","Active","2","1.09000","$2.18","2161","25 Weeks","FIXED IND 10UH 1.6A 114 MOHM","ROHS3 Compliant","Lead free","REACH Unaffected"
"ADS8344N/1K","Texas Instruments","296-41197-1-ND","","","Cut Tape (CT)","Active","2","15.52000","$31.04","1533","16 Weeks","IC ADC 16BIT SAR 20SSOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"MP2456GJ-P","Monolithic Power Systems Inc.","1589-1120-1-ND","","","Cut Tape (CT)","Active","2","1.65000","$3.30","2467","12 Weeks","IC REG BUCK ADJ 500MA TSOT23-6","ROHS3 Compliant","Lead free","REACH Unaffected"
"1N4148W-7-F","Diodes Incorporated","1N4148W-FDICT-ND","","","Cut Tape (CT)","Active","2","0.16000","$0.32","3431897","17 Weeks","DIODE GEN PURP 100V 300MA SOD123","ROHS3 Compliant","Lead free","REACH Unaffected"