"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DIS";"DPN";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MFR";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"2";".33";"R-US_R0603";"R0603";"RS_H, RS_L";"RESISTOR, American symbol";"";"Digi-Key";"P.33AJCT-ND";"";"";"";"Panasonic Electronic Components";"";"";"ERJ-3RQFR33V";"77";"";"";"R";
"3";"100nF";"C-USC0603";"C0603";"C10, C11, C12";"CAPACITOR, American symbol";"";"Digi-Key";"1276-1006-1-ND";"";"";"";" Samsung Electro-Mechanics";"";"";"CL10B104KA8NNNC";"37";"";"";"C";
"2";"100uF";"C-US025-025X050";"C025-025X050";"C1_H, C1_L";"CAPACITOR, American symbol";"";"Digi-Key";"1572-1044-ND";"";"";"";"Illinois Capacitor";"";"";"107CKR050M";"0";"";"";"C";
"14";"10k";"R-US_R0603";"R0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R14, R15, R16, R17, R18";"RESISTOR, American symbol";"";"Digi-Key";"RMCF0603FT10K0CT-ND";"";"";"";"Stackpole Electronics Inc";"";"";"RMCF0603FT10K0";"77";"";"";"R";
"2";"10uF";"C-USC1206";"C1206";"C0_H, C0_L";"CAPACITOR, American symbol";"";"Digi-Key";"1276-6736-1-ND";"";"";"";"Samsung Electro-Mechanics";"";"";"CL31A106MBHNNNE";"24";"";"";"C";
"2";"1N5819G_0_0";"ON_SEMICONDUCTOR_1N5819GON_SEMICONDUCTOR_1N5819G_0_0";"ON_SEMICONDUCTOR_1N5819G_0";"D1, D2";"ONSC-D-K1A2-2_A";"";"Digi-Key";"1N5819GOS-ND";"";"";"";"On Semiconductor";"";"";"1N5819G";"";"";"";"";
"4";"1k";"R-US_R0603";"R0603";"R10, R11, R12, R13";"RESISTOR, American symbol";"";"Digi-Key";"RMCF0603JJ1K00CT-ND";"";"";"";"Stackpole Electronics Inc";"";"";"RMCF0603JJ1K00";"77";"";"";"R";
"1";"2.2k";"R-US_R0603";"R0603";"R2_L";"RESISTOR, American symbol";"";"Digi-Key";"P2.20KHCT-ND";"";"";"";"Panasonic Electronic Components";"";"";"ERJ-3EKF2201V";"77";"";"";"R";
"1";"220uH";"L-US0204/5";"0204/5";"L2";"INDUCTOR, American symbol";"";"Digi-Key";"811-2101-ND ";"";"";"";"Murata Power Solutions Inc. ";"";"";"12RS224C";"0";"";"";"L";
"1";"220uH";"L-US0204/5";"0204/5";"L1";"INDUCTOR, American symbol";"";"DigiKey";"811-2101-ND ";"";"";"";"Murata Power Solutions Inc. ";"";"";"12RS224C";"0";"";"";"L";
"1";"24V";"DCBARRELSMT";"DCJACK_2MM_SMT";"POE_IN";"2.0mm DC Barrel Jack";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3.3k";"R-US_R0603";"R0603";"R1_H";"RESISTOR, American symbol";"";"Digi-Key";"311-3.30KHRCT-ND";"";"";"";"Yageo";"";"";"RC0603FR-073K3L";"77";"";"";"R";
"1";"3.6k";"R-US_R0603";"R0603";"R1_L";"RESISTOR, American symbol";"";"Digi-Key";"311-3.60KHRCT-ND";"";"";"";"Yageo";"";"";"RC0603FR-073K6L";"77";"";"";"R";
"9";"4.7nF";"C-USC0603";"C0603";"C1, C2, C3, C4, C5, C6, C7, C8, C9";"CAPACITOR, American symbol";"";"Digi-Key";"445-7400-1-ND";"";"";"";"TDK Corporation";"";"";"C1608C0G1H472J080AA";"37";"";"";"C";
"1";"470";"R-US_R0603";"R0603";"R2_H";"RESISTOR, American symbol";"";"Digi-Key";"A129684CT-ND";"";"";"";"TE Connectivity Passive Product";"";"";"CRGCQ0603F470R";"77";"";"";"R";
"2";"470pF";"C-USC0603";"C0603";"C2_H, C2_L";"CAPACITOR, American symbol";"";"Digi-Key";"1292-1438-1-ND";"";"";"";"Walsin Technology Corporation";"";"";"0603B471K500CT";"37";"";"";"C";
"2";"470uF";"C-USC0603";"C0603";"C3_H, C3_L";"CAPACITOR, American symbol";"";"Digi-Key";"399-15683-ND";"";"";"";"KEMET";"";"";"ESH477M050AH4AA";"37";"";"";"C";
"2";"AZ34063UMTR-G1";"DIODES_INC._AZ34063UMTR-G1DIODES_INC._AZ34063UMTR-G1_0_0";"DIODES_INC._AZ34063UMTR-G1_0";"U1, U2";"Buck, Boost Switching Regulator IC Positive or Negative Adjustable 1.25V 1 Output 1.5A (Switch) 8-SOIC (0.154", 3.90mm Width)";"";"Digi-Key";"AZ34063UMTR-G1DICT-ND";"";"";"";"Diodes Incorporated";"";"";"AZ34063UMTR-G1";"";"";"";"";
"1";"FTSH-105-XX-X-DV-K";"FTSH-105-XX-X-DV-K";"CON10_2X5_DUK_FTSH";"CM1";"";"";"Digi-Key";"SAM13160CT-ND";"";"";"";"Samtec Inc.";"";"";"FTSH-105-01-F-DV-K-TR";"";"";"";"";
"1";"HES1";"PINHD-1X3";"1X03";"HES1";"PIN HEADER";"";"Digi-Key";"WM2701-ND";"";"";"";"Molex";"";"";"0022112032";"92";"";"";"";
"1";"HES2";"PINHD-1X3";"1X03";"HES2";"PIN HEADER";"";"Digi-Key";"WM2701-ND";"";"";"";"Molex";"";"";"0022112032";"92";"";"";"";
"1";"HES3";"PINHD-1X3";"1X03";"HES3";"PIN HEADER";"";"Digi-Key";"WM2701-ND";"";"";"";"Molex";"";"";"0022112032";"92";"";"";"";
"1";"HES4";"PINHD-1X3";"1X03";"HES4";"PIN HEADER";"";"Digi-Key";"WM2701-ND";"";"";"";"Molex";"";"";"0022112032";"92";"";"";"";
"1";"HES5";"PINHD-1X3";"1X03";"HES5";"PIN HEADER";"";"Digi-Key";"WM2701-ND";"";"";"";"Molex";"";"";"0022112032";"92";"";"";"";
"1";"HES6";"PINHD-1X3";"1X03";"HES6";"PIN HEADER";"";"Digi-Key";"WM2701-ND";"";"";"";"Molex";"";"";"0022112032";"92";"";"";"";
"1";"HES7";"PINHD-1X3";"1X03";"HES7";"PIN HEADER";"";"Digi-Key";"WM2701-ND";"";"";"";"Molex";"";"";"0022112032";"92";"";"";"";
"1";"HES8";"PINHD-1X3";"1X03";"HES8";"PIN HEADER";"";"Digi-Key";"WM2701-ND";"";"";"";"Molex";"";"";"0022112032";"92";"";"";"";
"1";"HES9";"PINHD-1X3";"1X03";"HES9";"PIN HEADER";"";"Digi-Key";"WM2701-ND";"";"";"";"Molex";"";"";"0022112032";"92";"";"";"";
"1";"LED1";"PINHD-1X2";"1X02";"BATT";"PIN HEADER";"";"Digi-Key";"900-0022232021-ND";"";"";"";"Molex";"";"";"0022232021";"98";"";"";"";
"1";"LEDS";"PINHD-2X4";"2X04";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"47";"";"";"";
"4";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"H1, H2, H3, H5";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";
"4";"PMV45EN2R";"PMV45EN2R";"SOT23";"Q1, Q2, Q3, Q4";"Nexperia PMV45EN2R N-channel MOSFET, 5.1 A, 30 V PMV45EN2, 3-Pin SOT-23";"Nexperia PMV45EN2R N-channel MOSFET, 5.1 A, 30 V PMV45EN2, 3-Pin SOT-23";"Digi-Key";"1727-2307-1-ND";"1.1mm";"Nexperia";"PMV45EN2R";"Nexperia USA Inc.";"771-PMV45EN2R";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-PMV45EN2R";"PMV45EN2R";"";"1364835P";"http://uk.rs-online.com/web/p/products/1364835P";"";
"1";"SB240";"1N5817-B";"DO41-7.6";"D3";"1.0A SCHOTTKY BARRIER RECTIFIER";"";"Digi-Key";"SB240-E3/54GICT-ND";"";"";"";"Vishay Semiconductor Diodes Division";"";"";"SB240-E3/54";"0";"";"";"";
"1";"SD";"PINHD-1X6";"1X06";"SD_CARD";"PIN HEADER";"";"Digi-Key";"A33867-ND";"";"";"";"TE Connectivity AMP Connectors";"";"";"5-103635-5";"79";"";"";"";
"1";"SM_STAT";"PINHD-1X3";"1X03";"SM_STAT";"PIN HEADER";"";"Digi-Key";"WM2701-ND";"";"";"";"Molex";"";"";"0022112032";"92";"";"";"";
"1";"STM32F042K6";"STM32F042K6";"QFP32-7X7";"U3";"";"";"Digi-Key";"497-14647-ND";"";"";"";"STMicroelectronics";"";"";"STM32F042K6T6";"";"";"";"";
"9";"TEST-POINT-LARGE-SQUARE";"TEST-POINT-LARGE-SQUARE";"1X01";"TP3V3, TP3V3J, TP10V, TPBASE, TPJGND, TPNRST, TPOE, TPSCLK, TPSIO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
