Qty,Parts,DIS,DPN,MFR,MPN
1,JP2,Digi-Key,S2011EC-16-ND,Sullins Connector Solutions,PRPC016DAAN-RC
1,JP1,Digi-Key,WM8249-ND,Molex,901301210
2,"RS_H, RS_L",Digi-Key,P.33AJCT-ND,Panasonic Electronic Components,ERJ-3RQFR33V
1,R19,Digi-Key,P100KADCT-ND,Panasonic Electronic Components,ERJ-P06J104V
6,"C10, C11, C12, C53, C54, C55",Digi-Key,1276-1006-1-ND, Samsung Electro-Mechanics,CL10B104KA8NNNC
1,R2_H,Digi-Key,P105KAACT-ND,Panasonic Electronic Components,ERJ-14NF1053U
15,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R14, R15, R16, R17, R18, R20",Digi-Key,RMCF0603FT10K0CT-ND,Stackpole Electronics Inc,RMCF0603FT10K0
20,"C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43",Digi-Key,490-18664-1-ND,Murata Electronics,GRM21BR61H106ME43L
2,"R1_H, R1_L",Digi-Key,541-15.0KTCT-ND,Vishay Dale,CRCW080515K0FKEAHP
2,"D1, D2",Digi-Key,1N5819HW-FDICT-ND,Diodes Incorporated,1N5819HW-7-F
3,"R24, R26, R27",Digi-Key,511-1732-1-ND,Rohm Semiconductor,SDR03EZPJ102
5,"R10, R11, R12, R13, R21",Digi-Key,RMCF0603JJ1K00CT-ND,Stackpole Electronics Inc,RMCF0603JJ1K00
1,R25,Digi-Key,RHM20KDCT-ND,Rohm Semiconductor,ESR03EZPJ203
2,"C56, C57",Digi-Key,399-8786-1-ND,KEMET,CBR04C200F5GAC
2,"L1, L2",Digi-Key,811-2101-ND,Murata Power Solutions Inc. ,12RS224C
1,R2_L,Digi-Key,541-24.9KTCT-ND,Vishay Dale,CRCW080524K9FKEAHP
1,POE_IN,Digi-Key,2092-KLDX-SMT2-0202-ACT-ND,"Kycon, Inc.",KLDX-SMT2-0202-ATR
9,"C1, C2, C3, C4, C5, C6, C7, C8, C9",Digi-Key,445-7400-1-ND,TDK Corporation,C1608C0G1H472J080AA
2,"C2_H, C2_L",Digi-Key,1292-1438-1-ND,Walsin Technology Corporation,0603B471K500CT
10,"C24, C25, C26, C27, C28, C29, C30, C31, C32, C33",Digi-Key,445-8239-1-ND,TDK Corporation,C2012X5R1A476M125AC
10,"C23, C44, C45, C46, C47, C48, C49, C50, C51, C52",Digi-Key,445-8047-1-ND,TDK Corporation,C3216X5R1E476M160AC
2,"D5, D6",Digi-Key,B240A-FDICT-ND,Diodes Incorporated,B240A-13-F
1,X1,Digi-Key,XC2181CT-ND,ECS Inc.,ECS-160-10-36Q-ES-TR
1,CM1,Digi-Key,SAM13160CT-ND,Samtec Inc.,FTSH-105-01-F-DV-K-TR
4,"3V3., 10V., POE., VBATT.",Digi-Key,350-2035-1-ND,Dialight,5988070107F
1,HES1,Digi-Key,WM2701-ND,Molex,22112032
1,HES2,Digi-Key,WM2701-ND,Molex,22112032
1,HES3,Digi-Key,WM2701-ND,Molex,22112032
1,HES4,Digi-Key,WM2701-ND,Molex,22112032
1,HES5,Digi-Key,WM2701-ND,Molex,22112032
1,HES6,Digi-Key,WM2701-ND,Molex,22112032
1,HES7,Digi-Key,WM2701-ND,Molex,22112032
1,HES8,Digi-Key,WM2701-ND,Molex,22112032
1,HES9,Digi-Key,WM2701-ND,Molex,22112032
1,Q5,Digi-Key,IRF9530NPBF-ND,Infineon Technologies,IRF9530NPBF
1,BATT,Digi-Key,900-0022232021-ND,Molex,22232021
2,"U1, U2",Digi-Key,296-17763-1-ND,Texas Instruments,MC33063ADR
4,"H1, H2, H3, H5",,,,
5,"Q1, Q2, Q3, Q4, Q6",Digi-Key,1727-2307-1-ND,Nexperia USA Inc.,PMV45EN2R
1,SD_CARD,Digi-Key,A33867-ND,TE Connectivity AMP Connectors,5-103635-5
1,SM_STAT,Digi-Key,WM2701-ND,Molex,22112032
1,U3,Digi-Key,497-6444-ND,STMicroelectronics,STM32F103RET6